Country,Year,Condition,Sex,Age Group,Deaths
England and Wales,2014,Malignant neoplasm of colon and rectum,Male,30-34,25
England and Wales,2014,Malignant neoplasm of colon and rectum,Male,35-39,31
England and Wales,2014,Malignant neoplasm of colon and rectum,Male,40-44,62
England and Wales,2014,Malignant neoplasm of colon and rectum,Male,45-49,111
England and Wales,2014,Malignant neoplasm of colon and rectum,Male,50-54,245
England and Wales,2014,Malignant neoplasm of colon and rectum,Male,55-59,376
England and Wales,2014,Malignant neoplasm of colon and rectum,Male,60-64,637
England and Wales,2014,Malignant neoplasm of colon and rectum,Male,65-69,918
England and Wales,2014,Malignant neoplasm of colon and rectum,Male,70-74,"1,099"
England and Wales,2014,"Malignant neoplasm of lip, oral cavity and pharynx",Male,<1   ,0
England and Wales,2014,"Malignant neoplasm of lip, oral cavity and pharynx",Male,01-04,0
England and Wales,2014,"Malignant neoplasm of lip, oral cavity and pharynx",Male,05-09,0
England and Wales,2014,"Malignant neoplasm of lip, oral cavity and pharynx",Male,10-14,0
England and Wales,2014,"Malignant neoplasm of lip, oral cavity and pharynx",Male,15-19,1
England and Wales,2014,"Malignant neoplasm of lip, oral cavity and pharynx",Male,20-24,1
England and Wales,2014,"Malignant neoplasm of lip, oral cavity and pharynx",Male,25-29,2
England and Wales,2014,"Malignant neoplasm of lip, oral cavity and pharynx",Male,30-34,5
England and Wales,2014,"Malignant neoplasm of lip, oral cavity and pharynx",Male,35-39,13
England and Wales,2014,"Malignant neoplasm of lip, oral cavity and pharynx",Male,40-44,29
England and Wales,2014,"Malignant neoplasm of lip, oral cavity and pharynx",Male,45-49,58
England and Wales,2014,"Malignant neoplasm of lip, oral cavity and pharynx",Male,50-54,119
England and Wales,2014,"Malignant neoplasm of lip, oral cavity and pharynx",Male,55-59,178
England and Wales,2014,"Malignant neoplasm of lip, oral cavity and pharynx",Male,60-64,233
England and Wales,2014,"Malignant neoplasm of lip, oral cavity and pharynx",Male,65-69,277
England and Wales,2014,"Malignant neoplasm of lip, oral cavity and pharynx",Male,70-74,245
England and Wales,2014,Malignant neoplasm of liver,Male,<1   ,0
England and Wales,2014,Malignant neoplasm of liver,Male,01-04,1
England and Wales,2014,Malignant neoplasm of liver,Male,05-09,1
England and Wales,2014,Malignant neoplasm of liver,Male,10-14,1
England and Wales,2014,Malignant neoplasm of liver,Male,15-19,2
England and Wales,2014,Malignant neoplasm of liver,Male,20-24,3
England and Wales,2014,Malignant neoplasm of liver,Male,25-29,1
England and Wales,2014,Malignant neoplasm of liver,Male,30-34,7
England and Wales,2014,Malignant neoplasm of liver,Male,35-39,7
England and Wales,2014,Malignant neoplasm of liver,Male,40-44,25
England and Wales,2014,Malignant neoplasm of liver,Male,45-49,51
England and Wales,2014,Malignant neoplasm of liver,Male,50-54,94
England and Wales,2014,Malignant neoplasm of liver,Male,55-59,176
England and Wales,2014,Malignant neoplasm of liver,Male,60-64,258
England and Wales,2014,Malignant neoplasm of liver,Male,65-69,411
England and Wales,2014,Malignant neoplasm of liver,Male,70-74,390
England and Wales,2014,Malignant neoplasm of oesophagus,Male,<1   ,0
England and Wales,2014,Malignant neoplasm of oesophagus,Male,01-04,0
England and Wales,2014,Malignant neoplasm of oesophagus,Male,05-09,0
England and Wales,2014,Malignant neoplasm of oesophagus,Male,10-14,0
England and Wales,2014,Malignant neoplasm of oesophagus,Male,15-19,0
England and Wales,2014,Malignant neoplasm of oesophagus,Male,20-24,0
England and Wales,2014,Malignant neoplasm of oesophagus,Male,25-29,1
England and Wales,2014,Malignant neoplasm of oesophagus,Male,30-34,3
England and Wales,2014,Malignant neoplasm of oesophagus,Male,35-39,11
England and Wales,2014,Malignant neoplasm of oesophagus,Male,40-44,34
England and Wales,2014,Malignant neoplasm of oesophagus,Male,45-49,83
England and Wales,2014,Malignant neoplasm of oesophagus,Male,50-54,196
England and Wales,2014,Malignant neoplasm of oesophagus,Male,55-59,309
England and Wales,2014,Malignant neoplasm of oesophagus,Male,60-64,525
England and Wales,2014,Malignant neoplasm of oesophagus,Male,65-69,758
England and Wales,2014,Malignant neoplasm of oesophagus,Male,70-74,714
England and Wales,2014,Malignant neoplasm of stomach,Male,<1   ,0
England and Wales,2014,Malignant neoplasm of stomach,Male,01-04,0
England and Wales,2014,Malignant neoplasm of stomach,Male,05-09,0
England and Wales,2014,Malignant neoplasm of stomach,Male,10-14,0
England and Wales,2014,Malignant neoplasm of stomach,Male,15-19,0
England and Wales,2014,Malignant neoplasm of stomach,Male,20-24,1
England and Wales,2014,Malignant neoplasm of stomach,Male,25-29,2
England and Wales,2014,Malignant neoplasm of stomach,Male,30-34,7
England and Wales,2014,Malignant neoplasm of stomach,Male,35-39,6
England and Wales,2014,Malignant neoplasm of stomach,Male,40-44,19
England and Wales,2014,Malignant neoplasm of stomach,Male,45-49,45
England and Wales,2014,Malignant neoplasm of stomach,Male,50-54,90
England and Wales,2014,Malignant neoplasm of stomach,Male,55-59,131
England and Wales,2014,Malignant neoplasm of stomach,Male,60-64,163
England and Wales,2014,Malignant neoplasm of stomach,Male,65-69,282
England and Wales,2014,Malignant neoplasm of stomach,Male,70-74,363
England and Wales,2014,Malignant neoplasm of testis,Male,<1   ,0
England and Wales,2014,Malignant neoplasm of testis,Male,01-04,0
England and Wales,2014,Malignant neoplasm of testis,Male,05-09,0
England and Wales,2014,Malignant neoplasm of testis,Male,10-14,0
England and Wales,2014,Malignant neoplasm of testis,Male,15-19,2
England and Wales,2014,Malignant neoplasm of testis,Male,20-24,4
England and Wales,2014,Malignant neoplasm of testis,Male,25-29,3
England and Wales,2014,Malignant neoplasm of testis,Male,30-34,4
England and Wales,2014,Malignant neoplasm of testis,Male,35-39,2
England and Wales,2014,Malignant neoplasm of testis,Male,40-44,1
England and Wales,2014,Malignant neoplasm of testis,Male,45-49,6
England and Wales,2014,Malignant neoplasm of testis,Male,50-54,4
England and Wales,2014,Malignant neoplasm of testis,Male,55-59,6
England and Wales,2014,Malignant neoplasm of testis,Male,60-64,3
England and Wales,2014,Malignant neoplasm of testis,Male,65-69,4
England and Wales,2014,Malignant neoplasm of testis,Male,70-74,1
England and Wales,2014,Malignant neoplasm of thyroid,Male,<1   ,0
England and Wales,2014,Malignant neoplasm of thyroid,Male,01-04,0
England and Wales,2014,Malignant neoplasm of thyroid,Male,05-09,0
England and Wales,2014,Malignant neoplasm of thyroid,Male,10-14,0
England and Wales,2014,Malignant neoplasm of thyroid,Male,15-19,0
England and Wales,2014,Malignant neoplasm of thyroid,Male,20-24,0
England and Wales,2014,Malignant neoplasm of thyroid,Male,25-29,1
England and Wales,2014,Malignant neoplasm of thyroid,Male,30-34,1
England and Wales,2014,Malignant neoplasm of thyroid,Male,35-39,0
England and Wales,2014,Malignant neoplasm of thyroid,Male,40-44,3
England and Wales,2014,Malignant neoplasm of thyroid,Male,45-49,2
England and Wales,2014,Malignant neoplasm of thyroid,Male,50-54,3
England and Wales,2014,Malignant neoplasm of thyroid,Male,55-59,9
England and Wales,2014,Malignant neoplasm of thyroid,Male,60-64,8
England and Wales,2014,Malignant neoplasm of thyroid,Male,65-69,16
England and Wales,2014,Malignant neoplasm of thyroid,Male,70-74,22
England and Wales,2014,"Malignant neoplasm of trachea, bronchus and lung",Male,<1   ,0
England and Wales,2014,"Malignant neoplasm of trachea, bronchus and lung",Male,01-04,0
England and Wales,2014,"Malignant neoplasm of trachea, bronchus and lung",Male,05-09,0
England and Wales,2014,"Malignant neoplasm of trachea, bronchus and lung",Male,10-14,0
England and Wales,2014,"Malignant neoplasm of trachea, bronchus and lung",Male,15-19,0
England and Wales,2014,"Malignant neoplasm of trachea, bronchus and lung",Male,20-24,3
England and Wales,2014,"Malignant neoplasm of trachea, bronchus and lung",Male,25-29,4
England and Wales,2014,"Malignant neoplasm of trachea, bronchus and lung",Male,30-34,5
England and Wales,2014,"Malignant neoplasm of trachea, bronchus and lung",Male,35-39,24
England and Wales,2014,"Malignant neoplasm of trachea, bronchus and lung",Male,40-44,89
England and Wales,2014,"Malignant neoplasm of trachea, bronchus and lung",Male,45-49,209
England and Wales,2014,"Malignant neoplasm of trachea, bronchus and lung",Male,50-54,444
England and Wales,2014,"Malignant neoplasm of trachea, bronchus and lung",Male,55-59,906
England and Wales,2014,"Malignant neoplasm of trachea, bronchus and lung",Male,60-64,"1,574"
England and Wales,2014,"Malignant neoplasm of trachea, bronchus and lung",Male,65-69,"2,638"
England and Wales,2014,"Malignant neoplasm of trachea, bronchus and lung",Male,70-74,"2,888"
England and Wales,2014,Mesothelioma,Male,<1   ,0
England and Wales,2014,Mesothelioma,Male,01-04,0
England and Wales,2014,Mesothelioma,Male,05-09,0
England and Wales,2014,Mesothelioma,Male,10-14,0
England and Wales,2014,Mesothelioma,Male,15-19,0
England and Wales,2014,Mesothelioma,Male,20-24,0
England and Wales,2014,Mesothelioma,Male,25-29,0
England and Wales,2014,Mesothelioma,Male,30-34,0
England and Wales,2014,Mesothelioma,Male,35-39,1
England and Wales,2014,Mesothelioma,Male,40-44,1
England and Wales,2014,Mesothelioma,Male,45-49,8
England and Wales,2014,Mesothelioma,Male,50-54,18
England and Wales,2014,Mesothelioma,Male,55-59,54
England and Wales,2014,Mesothelioma,Male,60-64,138
England and Wales,2014,Mesothelioma,Male,65-69,305
England and Wales,2014,Mesothelioma,Male,70-74,397
England and Wales,2014,Misadventures to patients during surgical and medical care,Male,<1   ,4
England and Wales,2014,Misadventures to patients during surgical and medical care,Male,01-04,5
England and Wales,2014,Misadventures to patients during surgical and medical care,Male,05-09,2
England and Wales,2014,Misadventures to patients during surgical and medical care,Male,10-14,2
England and Wales,2014,Misadventures to patients during surgical and medical care,Male,15-19,1
England and Wales,2014,Misadventures to patients during surgical and medical care,Male,20-24,2
England and Wales,2014,Misadventures to patients during surgical and medical care,Male,25-29,2
England and Wales,2014,Misadventures to patients during surgical and medical care,Male,30-34,2
England and Wales,2014,Misadventures to patients during surgical and medical care,Male,35-39,1
England and Wales,2014,Misadventures to patients during surgical and medical care,Male,40-44,5
England and Wales,2014,Misadventures to patients during surgical and medical care,Male,45-49,16
England and Wales,2014,Misadventures to patients during surgical and medical care,Male,50-54,18
England and Wales,2014,Misadventures to patients during surgical and medical care,Male,55-59,18
England and Wales,2014,Misadventures to patients during surgical and medical care,Male,60-64,35
England and Wales,2014,Misadventures to patients during surgical and medical care,Male,65-69,46
England and Wales,2014,Misadventures to patients during surgical and medical care,Male,70-74,64
England and Wales,2014,Misadventures to patients during surgical and medical care,Male,75-79,58
England and Wales,2014,Misadventures to patients during surgical and medical care,Male,80-84,53
England and Wales,2014,Misadventures to patients during surgical and medical care,Male,85-89,62
England and Wales,2014,Misadventures to patients during surgical and medical care,Male,90+  ,19
England and Wales,2014,Nephritis and nephrosis,Male,<1   ,2
England and Wales,2014,Nephritis and nephrosis,Male,01-04,0
England and Wales,2014,Nephritis and nephrosis,Male,05-09,0
England and Wales,2014,Nephritis and nephrosis,Male,10-14,0
England and Wales,2014,Nephritis and nephrosis,Male,15-19,1
England and Wales,2014,Nephritis and nephrosis,Male,20-24,3
England and Wales,2014,Nephritis and nephrosis,Male,25-29,2
England and Wales,2014,Nephritis and nephrosis,Male,30-34,2
England and Wales,2014,Nephritis and nephrosis,Male,35-39,1
England and Wales,2014,Nephritis and nephrosis,Male,40-44,9
England and Wales,2014,Nephritis and nephrosis,Male,45-49,8
England and Wales,2014,Nephritis and nephrosis,Male,50-54,11
England and Wales,2014,Nephritis and nephrosis,Male,55-59,13
England and Wales,2014,Nephritis and nephrosis,Male,60-64,32
England and Wales,2014,Nephritis and nephrosis,Male,65-69,46
England and Wales,2014,Nephritis and nephrosis,Male,70-74,64
England and Wales,2014,Obstructive uropathy and prostatic hyperplasia,Male,<1   ,0
England and Wales,2014,Obstructive uropathy and prostatic hyperplasia,Male,01-04,0
England and Wales,2014,Obstructive uropathy and prostatic hyperplasia,Male,05-09,0
England and Wales,2014,Obstructive uropathy and prostatic hyperplasia,Male,10-14,0
England and Wales,2014,Obstructive uropathy and prostatic hyperplasia,Male,15-19,0
England and Wales,2014,Obstructive uropathy and prostatic hyperplasia,Male,20-24,0
England and Wales,2014,Obstructive uropathy and prostatic hyperplasia,Male,25-29,0
England and Wales,2014,Obstructive uropathy and prostatic hyperplasia,Male,30-34,1
England and Wales,2014,Obstructive uropathy and prostatic hyperplasia,Male,35-39,0
England and Wales,2014,Obstructive uropathy and prostatic hyperplasia,Male,40-44,2
England and Wales,2014,Obstructive uropathy and prostatic hyperplasia,Male,45-49,4
England and Wales,2014,Obstructive uropathy and prostatic hyperplasia,Male,50-54,3
England and Wales,2014,Obstructive uropathy and prostatic hyperplasia,Male,55-59,6
England and Wales,2014,Obstructive uropathy and prostatic hyperplasia,Male,60-64,5
England and Wales,2014,Obstructive uropathy and prostatic hyperplasia,Male,65-69,8
England and Wales,2014,Obstructive uropathy and prostatic hyperplasia,Male,70-74,24
England and Wales,2014,Other infections,Male,<1   ,1
England and Wales,2014,Other infections,Male,01-04,2
England and Wales,2014,Other infections,Male,05-09,0
England and Wales,2014,Other infections,Male,10-14,0
England and Wales,2014,Other infections,Male,15-19,0
England and Wales,2014,Other infections,Male,20-24,0
England and Wales,2014,Other infections,Male,25-29,0
England and Wales,2014,Other infections,Male,30-34,0
England and Wales,2014,Other infections,Male,35-39,0
England and Wales,2014,Other infections,Male,40-44,1
England and Wales,2014,Other infections,Male,45-49,0
England and Wales,2014,Other infections,Male,50-54,0
England and Wales,2014,Other infections,Male,55-59,1
England and Wales,2014,Other infections,Male,60-64,0
England and Wales,2014,Other infections,Male,65-69,1
England and Wales,2014,Other infections,Male,70-74,1
England and Wales,2014,Pertussis (whooping cough),Male,<1   ,3
England and Wales,2014,Pertussis (whooping cough),Male,01-04,0
England and Wales,2014,Pertussis (whooping cough),Male,05-09,0
England and Wales,2014,Pertussis (whooping cough),Male,10-14,0
England and Wales,2014,Pneumonia,Male,<1   ,4
England and Wales,2014,Pneumonia,Male,01-04,10
England and Wales,2014,Pneumonia,Male,05-09,6
England and Wales,2014,Pneumonia,Male,10-14,4
England and Wales,2014,Pneumonia,Male,15-19,8
England and Wales,2014,Pneumonia,Male,20-24,12
England and Wales,2014,Pneumonia,Male,25-29,13
England and Wales,2014,Pneumonia,Male,30-34,17
England and Wales,2014,Pneumonia,Male,35-39,36
England and Wales,2014,Pneumonia,Male,40-44,56
England and Wales,2014,Pneumonia,Male,45-49,102
England and Wales,2014,Pneumonia,Male,50-54,142
England and Wales,2014,Pneumonia,Male,55-59,184
England and Wales,2014,Pneumonia,Male,60-64,309
England and Wales,2014,Pneumonia,Male,65-69,457
England and Wales,2014,Pneumonia,Male,70-74,689
England and Wales,2014,Rheumatic and valvular heart disease,Male,<1   ,0
England and Wales,2014,Rheumatic and valvular heart disease,Male,01-04,0
England and Wales,2014,Rheumatic and valvular heart disease,Male,05-09,0
England and Wales,2014,Rheumatic and valvular heart disease,Male,10-14,0
England and Wales,2014,Rheumatic and valvular heart disease,Male,15-19,0
England and Wales,2014,Rheumatic and valvular heart disease,Male,20-24,0
England and Wales,2014,Rheumatic and valvular heart disease,Male,25-29,0
England and Wales,2014,Rheumatic and valvular heart disease,Male,30-34,3
England and Wales,2014,Rheumatic and valvular heart disease,Male,35-39,3
England and Wales,2014,Rheumatic and valvular heart disease,Male,40-44,7
England and Wales,2014,Rheumatic and valvular heart disease,Male,45-49,4
England and Wales,2014,Rheumatic and valvular heart disease,Male,50-54,4
England and Wales,2014,Rheumatic and valvular heart disease,Male,55-59,16
England and Wales,2014,Rheumatic and valvular heart disease,Male,60-64,14
England and Wales,2014,Rheumatic and valvular heart disease,Male,65-69,22
England and Wales,2014,Rheumatic and valvular heart disease,Male,70-74,33
England and Wales,2014,Selected respiratory diseases,Male,01-04,10
England and Wales,2014,Selected respiratory diseases,Male,05-09,1
England and Wales,2014,Selected respiratory diseases,Male,10-14,1
England and Wales,2014,Selective invasive bacterial and protozoal infections,Male,<1   ,14
England and Wales,2014,Selective invasive bacterial and protozoal infections,Male,01-04,13
England and Wales,2014,Selective invasive bacterial and protozoal infections,Male,05-09,2
England and Wales,2014,Selective invasive bacterial and protozoal infections,Male,10-14,5
England and Wales,2014,Selective invasive bacterial and protozoal infections,Male,15-19,7
England and Wales,2014,Selective invasive bacterial and protozoal infections,Male,20-24,5
England and Wales,2014,Selective invasive bacterial and protozoal infections,Male,25-29,4
England and Wales,2014,Selective invasive bacterial and protozoal infections,Male,30-34,3
England and Wales,2014,Selective invasive bacterial and protozoal infections,Male,35-39,11
England and Wales,2014,Selective invasive bacterial and protozoal infections,Male,40-44,20
England and Wales,2014,Selective invasive bacterial and protozoal infections,Male,45-49,24
England and Wales,2014,Selective invasive bacterial and protozoal infections,Male,50-54,33
England and Wales,2014,Selective invasive bacterial and protozoal infections,Male,55-59,63
England and Wales,2014,Selective invasive bacterial and protozoal infections,Male,60-64,85
England and Wales,2014,Selective invasive bacterial and protozoal infections,Male,65-69,118
England and Wales,2014,Selective invasive bacterial and protozoal infections,Male,70-74,149
England and Wales,2014,Spina bifida,Male,<1   ,1
England and Wales,2014,Spina bifida,Male,01-04,0
England and Wales,2014,Spina bifida,Male,05-09,0
England and Wales,2014,Spina bifida,Male,10-14,0
England and Wales,2014,Spina bifida,Male,15-19,0
England and Wales,2014,Spina bifida,Male,20-24,0
England and Wales,2014,Spina bifida,Male,25-29,0
England and Wales,2014,Spina bifida,Male,30-34,1
England and Wales,2014,Spina bifida,Male,35-39,1
England and Wales,2014,Spina bifida,Male,40-44,1
England and Wales,2014,Spina bifida,Male,45-49,1
England and Wales,2014,Spina bifida,Male,50-54,2
England and Wales,2014,Spina bifida,Male,55-59,0
England and Wales,2014,Spina bifida,Male,60-64,1
England and Wales,2014,Spina bifida,Male,65-69,0
England and Wales,2014,Spina bifida,Male,70-74,0
England and Wales,2014,Suicides,Male,<1   ,1
England and Wales,2014,Suicides,Male,01-04,2
England and Wales,2014,Suicides,Male,05-09,3
England and Wales,2014,Suicides,Male,10-14,9
England and Wales,2014,Suicides,Male,15-19,114
England and Wales,2014,Suicides,Male,20-24,247
England and Wales,2014,Suicides,Male,25-29,299
England and Wales,2014,Suicides,Male,30-34,323
England and Wales,2014,Suicides,Male,35-39,324
England and Wales,2014,Suicides,Male,40-44,473
England and Wales,2014,Suicides,Male,45-49,517
England and Wales,2014,Suicides,Male,50-54,473
England and Wales,2014,Suicides,Male,55-59,324
England and Wales,2014,Suicides,Male,60-64,229
England and Wales,2014,Suicides,Male,65-69,182
England and Wales,2014,Suicides,Male,70-74,137
England and Wales,2014,Suicides,Male,75-79,111
England and Wales,2014,Suicides,Male,80-84,90
England and Wales,2014,Suicides,Male,85-89,59
England and Wales,2014,Suicides,Male,90+  ,21
England and Wales,2014,Transport accidents,Male,<1   ,1
England and Wales,2014,Transport accidents,Male,01-04,7
England and Wales,2014,Transport accidents,Male,05-09,8
England and Wales,2014,Transport accidents,Male,10-14,12
England and Wales,2014,Transport accidents,Male,15-19,86
England and Wales,2014,Transport accidents,Male,20-24,180
England and Wales,2014,Transport accidents,Male,25-29,141
England and Wales,2014,Transport accidents,Male,30-34,97
England and Wales,2014,Transport accidents,Male,35-39,90
England and Wales,2014,Transport accidents,Male,40-44,100
England and Wales,2014,Transport accidents,Male,45-49,100
England and Wales,2014,Transport accidents,Male,50-54,111
England and Wales,2014,Transport accidents,Male,55-59,85
England and Wales,2014,Transport accidents,Male,60-64,60
England and Wales,2014,Transport accidents,Male,65-69,52
England and Wales,2014,Transport accidents,Male,70-74,52
England and Wales,2014,Transport accidents,Male,75-79,58
England and Wales,2014,Transport accidents,Male,80-84,51
England and Wales,2014,Transport accidents,Male,85-89,39
England and Wales,2014,Transport accidents,Male,90+  ,25
England and Wales,2014,Tuberculosis,Male,<1   ,0
England and Wales,2014,Tuberculosis,Male,01-04,0
England and Wales,2014,Tuberculosis,Male,05-09,0
England and Wales,2014,Tuberculosis,Male,10-14,2
England and Wales,2014,Tuberculosis,Male,15-19,0
England and Wales,2014,Tuberculosis,Male,20-24,3
England and Wales,2014,Tuberculosis,Male,25-29,5
England and Wales,2014,Tuberculosis,Male,30-34,1
England and Wales,2014,Tuberculosis,Male,35-39,4
England and Wales,2014,Tuberculosis,Male,40-44,1
England and Wales,2014,Tuberculosis,Male,45-49,9
England and Wales,2014,Tuberculosis,Male,50-54,7
England and Wales,2014,Tuberculosis,Male,55-59,9
England and Wales,2014,Tuberculosis,Male,60-64,8
England and Wales,2014,Tuberculosis,Male,65-69,21
England and Wales,2014,Tuberculosis,Male,70-74,12
England and Wales,2014,Accidental injuries,Female,<1   ,7
England and Wales,2014,Accidental injuries,Female,01-04,15
England and Wales,2014,Accidental injuries,Female,05-09,2
England and Wales,2014,Accidental injuries,Female,10-14,7
England and Wales,2014,Accidental injuries,Female,15-19,23
England and Wales,2014,Accidental injuries,Female,20-24,44
England and Wales,2014,Accidental injuries,Female,25-29,61
England and Wales,2014,Accidental injuries,Female,30-34,103
England and Wales,2014,Accidental injuries,Female,35-39,131
England and Wales,2014,Accidental injuries,Female,40-44,174
England and Wales,2014,Accidental injuries,Female,45-49,168
England and Wales,2014,Accidental injuries,Female,50-54,177
England and Wales,2014,Accidental injuries,Female,55-59,141
England and Wales,2014,Accidental injuries,Female,60-64,153
England and Wales,2014,Accidental injuries,Female,65-69,176
England and Wales,2014,Accidental injuries,Female,70-74,216
England and Wales,2014,Accidental injuries,Female,75-79,389
England and Wales,2014,Accidental injuries,Female,80-84,671
England and Wales,2014,Accidental injuries,Female,85-89,959
England and Wales,2014,Accidental injuries,Female,90+  ,"1,525"
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Female,<1   ,1
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Female,01-04,1
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Female,05-09,2
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Female,10-14,1
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Female,15-19,5
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Female,20-24,1
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Female,25-29,4
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Female,30-34,9
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Female,35-39,13
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Female,40-44,12
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Female,45-49,24
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Female,50-54,36
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Female,55-59,46
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Female,60-64,75
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Female,65-69,125
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Female,70-74,178
England and Wales,2014,Addisons disease,Female,<1   ,0
England and Wales,2014,Addisons disease,Female,01-04,0
England and Wales,2014,Addisons disease,Female,05-09,0
England and Wales,2014,Addisons disease,Female,10-14,0
England and Wales,2014,Addisons disease,Female,15-19,0
England and Wales,2014,Addisons disease,Female,20-24,1
England and Wales,2014,Addisons disease,Female,25-29,0
England and Wales,2014,Addisons disease,Female,30-34,0
England and Wales,2014,Addisons disease,Female,35-39,0
England and Wales,2014,Addisons disease,Female,40-44,0
England and Wales,2014,Addisons disease,Female,45-49,0
England and Wales,2014,Addisons disease,Female,50-54,1
England and Wales,2014,Addisons disease,Female,55-59,0
England and Wales,2014,Addisons disease,Female,60-64,0
England and Wales,2014,Addisons disease,Female,65-69,1
England and Wales,2014,Addisons disease,Female,70-74,0
England and Wales,2014,Alcohol related diseases,Female,<1   ,0
England and Wales,2014,Alcohol related diseases,Female,01-04,0
England and Wales,2014,Alcohol related diseases,Female,05-09,1
England and Wales,2014,Alcohol related diseases,Female,10-14,0
England and Wales,2014,Alcohol related diseases,Female,15-19,0
England and Wales,2014,Alcohol related diseases,Female,20-24,4
England and Wales,2014,Alcohol related diseases,Female,25-29,14
England and Wales,2014,Alcohol related diseases,Female,30-34,72
England and Wales,2014,Alcohol related diseases,Female,35-39,100
England and Wales,2014,Alcohol related diseases,Female,40-44,183
England and Wales,2014,Alcohol related diseases,Female,45-49,284
England and Wales,2014,Alcohol related diseases,Female,50-54,321
England and Wales,2014,Alcohol related diseases,Female,55-59,334
England and Wales,2014,Alcohol related diseases,Female,60-64,299
England and Wales,2014,Alcohol related diseases,Female,65-69,267
England and Wales,2014,Alcohol related diseases,Female,70-74,197
England and Wales,2014,Aortic aneurysm and dissection,Female,<1   ,0
England and Wales,2014,Aortic aneurysm and dissection,Female,01-04,0
England and Wales,2014,Aortic aneurysm and dissection,Female,05-09,0
England and Wales,2014,Aortic aneurysm and dissection,Female,10-14,0
England and Wales,2014,Aortic aneurysm and dissection,Female,15-19,0
England and Wales,2014,Aortic aneurysm and dissection,Female,20-24,0
England and Wales,2014,Aortic aneurysm and dissection,Female,25-29,1
England and Wales,2014,Aortic aneurysm and dissection,Female,30-34,2
England and Wales,2014,Aortic aneurysm and dissection,Female,35-39,3
England and Wales,2014,Aortic aneurysm and dissection,Female,40-44,17
England and Wales,2014,Aortic aneurysm and dissection,Female,45-49,8
England and Wales,2014,Aortic aneurysm and dissection,Female,50-54,16
England and Wales,2014,Aortic aneurysm and dissection,Female,55-59,18
England and Wales,2014,Aortic aneurysm and dissection,Female,60-64,44
England and Wales,2014,Aortic aneurysm and dissection,Female,65-69,104
England and Wales,2014,Aortic aneurysm and dissection,Female,70-74,218
England and Wales,2014,Asthma,Female,<1   ,0
England and Wales,2014,Asthma,Female,01-04,1
England and Wales,2014,Asthma,Female,05-09,3
England and Wales,2014,Asthma,Female,10-14,4
England and Wales,2014,Asthma,Female,15-19,8
England and Wales,2014,Asthma,Female,20-24,4
England and Wales,2014,Asthma,Female,25-29,8
England and Wales,2014,Asthma,Female,30-34,6
England and Wales,2014,Asthma,Female,35-39,7
England and Wales,2014,Asthma,Female,40-44,15
England and Wales,2014,Asthma,Female,45-49,14
England and Wales,2014,Asthma,Female,50-54,20
England and Wales,2014,Asthma,Female,55-59,18
England and Wales,2014,Asthma,Female,60-64,28
England and Wales,2014,Asthma,Female,65-69,26
England and Wales,2014,Asthma,Female,70-74,40
England and Wales,2014,Benign neoplasms,Female,<1   ,0
England and Wales,2014,Benign neoplasms,Female,01-04,0
England and Wales,2014,Benign neoplasms,Female,05-09,0
England and Wales,2014,Benign neoplasms,Female,10-14,0
England and Wales,2014,Benign neoplasms,Female,15-19,0
England and Wales,2014,Benign neoplasms,Female,20-24,0
England and Wales,2014,Benign neoplasms,Female,25-29,1
England and Wales,2014,Benign neoplasms,Female,30-34,3
England and Wales,2014,Benign neoplasms,Female,35-39,1
England and Wales,2014,Benign neoplasms,Female,40-44,6
England and Wales,2014,Benign neoplasms,Female,45-49,6
England and Wales,2014,Benign neoplasms,Female,50-54,9
England and Wales,2014,Benign neoplasms,Female,55-59,13
England and Wales,2014,Benign neoplasms,Female,60-64,10
England and Wales,2014,Benign neoplasms,Female,65-69,26
England and Wales,2014,Benign neoplasms,Female,70-74,29
England and Wales,2014,Cerebrovascular diseases,Female,<1   ,1
England and Wales,2014,Cerebrovascular diseases,Female,01-04,2
England and Wales,2014,Cerebrovascular diseases,Female,05-09,3
England and Wales,2014,Cerebrovascular diseases,Female,10-14,3
England and Wales,2014,Cerebrovascular diseases,Female,15-19,0
England and Wales,2014,Cerebrovascular diseases,Female,20-24,6
England and Wales,2014,Cerebrovascular diseases,Female,25-29,11
